bea_code,detail_code,bea_desc,category
331410,nms_pmt,Nonferrous Metal (except Aluminum) Smelting and Refining,goods
454000,non_ott,Nonstore retailers,goods
F07C00,nondefense,Federal Government nondefense: Consumption expenditures,finaldemand
337122,nup_fpd,Nonupholstered wood household furniture manufacturing,goods
111300,nut_agr,Fruit and tree nut farming,goods
311119,oaf_fbp,Other animal food manufacturing,goods
336413,oar_ote,Other aircraft parts and auxiliary equipment manufacturing,goods
621900,oas_amb,Other ambulatory health care services,goods
325180,obi_che,Other Basic Inorganic Chemical Manufacturing,goods
325190,obo_che,Other basic organic chemical manufacturing,goods
334290,oce_cep,Other communications equipment manufacturing,goods
3259A0,och_che,All other chemical product and preparation manufacturing,goods
333318,oci_mch,Other commercial and service industry machinery manufacturing,goods
327390,ocp_nmp,Other concrete product manufacturing,goods
54151A,ocs_com,"Other computer related services, including facilities management",goods
423A00,odg_wht,Other durable goods merchant wholesalers,goods
33441A,oec_cep,Other electronic component manufacturing,goods
335999,oee_eec,All other miscellaneous electrical equipment and component manufacturing,goods
333618,oee_mch,Other engine equipment manufacturing,goods
611B00,oes_edu,Other educational services,goods
722A00,ofd_res,All other food and drinking places,goods
561100,off_adm,Office administrative services,goods
2332A0,off_con,Office and commercial structures,goods
33721A,off_fpd,Office furniture and custom architectural woodwork and millwork manufacturing,goods
S00102,ofg_fen,Other federal government enterprises,goods
523900,ofi_sec,Other financial investment activities,goods
311990,ofm_fbp,All other food manufacturing,goods
339940,ofm_mmf,Office supplies (except paper) manufacturing,goods
337900,ofp_fpd,Other furniture related product manufacturing,goods
33399A,ogp_mch,Other general purpose machinery manufacturing,goods
33712N,ohn_fpd,Other household nonupholstered furniture,goods
621300,ohp_amb,Offices of other health practitioners,goods
1111A0,oil_agr,Oilseed farming,goods
211000,oil_oil,Oil and gas extraction,goods
332999,omf_fmt,Other fabricated metal manufacturing,goods
335228,omh_eec,Other major household appliance manufacturing,goods
339990,omm_mmf,All other miscellaneous manufacturing,goods
336390,omv_mot,Other Motor Vehicle Parts Manufacturing,goods
2332D0,ons_con,Other nonresidential structures,goods
339115,oph_mmf,Ophthalmic goods manufacturing,goods
326190,opm_pla,Other plastics product manufacturing,goods
322299,opp_ppd,All other converted paper product manufacturing,goods
812900,ops_osv,Other personal services,goods
333314,opt_mch,Optical instrument and lens manufacturing,goods
326290,orb_pla,Other rubber product manufacturing,goods
2122A0,ore_min,"Iron, gold, silver, and other metal ore mining",goods
531ORE,ore_ore,Other real estate,goods
713900,ori_rec,Other amusement and recreation industries,goods
332320,orn_fmt,Ornamental and architectural metal products manufacturing,goods
2334A0,ors_con,Other residential structures,goods
561900,oss_adm,Other support services,goods
112A00,ota_agr,"Animal production, except cattle and poultry and eggs",goods
111900,oth_agr,Other crop farming,goods
2123A0,oth_min,Other nonmetallic mineral mining and quarrying,goods
4B0000,oth_ott,All other retail,goods
324190,oth_pet,Other petroleum and coal products manufacturing,goods
GSLGO,oth_slg,State and local government other services,goods
21311A,oth_smn,Other support activities for mining,goods
T00OTOP,othtax,Other taxes on production,valueadded
33329A,oti_mch,Other industrial machinery manufacturing,goods
336999,otm_ote,All other transportation equipment manufacturing,goods
314900,otp_tex,Other textile product mills,goods
621400,out_amb,Outpatient care centers,goods
T007,output,Total Commodity Output,
531HSO,own_hou,Owner-occupied housing,goods
3219A0,owp_wpd,All other wood product manufacturing,goods
325320,pag_che,Pesticide and other agricultural chemical manufacturing,goods
324121,pav_pet,Asphalt paving mixture and block manufacturing,goods
322210,pbc_ppd,Paperboard container manufacturing,goods
322130,pbm_ppd,Paperboard mills,goods
335912,pbt_eec,Primary battery manufacturing,goods
F01000,pce,Personal consumption expenditures,finaldemand
423400,pce_wht,Professional and commercial equipment and supplies,goods
812100,pcs_osv,Personal care services,goods
511120,pdl_pub,Periodical Publishers,goods
424700,pet_wht,Petroleum and petroleum products,goods
711100,pfm_art,Performing arts companies,goods
325412,phm_che,Pharmaceutical preparation manufacturing,goods
333316,pht_mch,Photographic and photocopying equipment manufacturing,goods
541920,pht_tsv,Photographic services,goods
621100,phy_amb,Offices of physicians,goods
512100,pic_mov,Motion picture and video industries,goods
486000,pip_pip,Pipeline transportation,goods
333993,pkg_mch,Packaging machinery manufacturing,goods
332913,plb_fmt,Plumbing fixture fitting and trim manufacturing,goods
326110,plm_pla,Plastics packaging materials and unlaminated film and sheet manufacturing,goods
322110,plp_ppd,Pulp mills,goods
332310,plt_fmt,Plate work and fabricated structural product manufacturing,goods
325211,pmr_che,Plastics material and resin manufacturing,goods
325510,pnt_che,Paint and coating manufacturing,goods
312110,pop_fbp,Soft drink and ice manufacturing,goods
322220,ppb_ppd,Paper Bag and Coated and Treated Paper Manufacturing,goods
33391A,ppe_mch,Pump and pumping equipment manufacturing,goods
322120,ppm_ppd,Paper mills,goods
326120,ppp_pla,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",goods
334418,prc_cep,Printed circuit assembly (electronic assembly) manufacturing,goods
325910,pri_che,Printing ink manufacturing,goods
323110,pri_pri,Printing,goods
33641A,pro_ote,Propulsion units and parts for space vehicles and guided missiles,goods
814000,prv_osv,Private households,goods
491000,pst_fen,Postal service,goods
325110,ptr_che,Petrochemical manufacturing,goods
233240,pwr_con,Power and communication structures,goods
335311,pwr_eec,"Power, distribution, and specialty transformer manufacturing",goods
332410,pwr_fmt,Power boiler and heat exchanger manufacturing,goods
333991,pwr_mch,Power-driven handtool manufacturing,goods
515100,rad_brd,Radio and television broadcasting,goods
326220,rbr_pla,Rubber and plastics hoses and belting manufacturing,goods
324110,ref_pet,Petroleum refineries,goods
813100,rel_osv,Religious organizations,goods
623B00,res_nrs,"Residential mental health, substance abuse, and other residential care facilities",goods
F02R00,residential,Residential private fixed investment,finaldemand
335314,ric_eec,Relay and industrial control manufacturing,goods
230302,rmr_con,Residential maintenance and repair,goods
531HST,rnt_hou,Tenant-occupied housing,goods
332114,rol_fmt,Custom roll forming,goods
336500,rrd_ote,Railroad rolling stock manufacturing,goods
314110,rug_tex,Carpet and rug mills,goods
S00900,rwa_oth,Rest of the world adjustment,goods
115000,saf_fof,Support activities for agriculture and forestry,goods
323120,sap_pri,Support activities for printing,goods
339113,sas_mmf,Surgical appliance and supplies manufacturing,goods
517A00,sat_brd,"Satellite, telecommunications resellers, and all other telecommunications",goods
321100,saw_wpd,Sawmills and wood preservation,goods
335911,sbt_eec,Storage battery manufacturing,goods
48A000,sce_otr,Scenic and sightseeing transportation and support activities for transportation,goods
541700,sci_tsv,Scientific research and development services,goods
334511,sdn_cep,"Search, detection, and navigation instruments manufacturing",goods
325130,sdp_che,Synthetic dye and pigment manufacturing,goods
335210,sea_eec,Small electrical appliance manufacturing,goods
311700,sea_fbp,Seafood product preparation and packaging,goods
611100,sec_edu,Elementary and secondary schools,goods
S00402,sec_use,Used and secondhand goods,goods
334413,sem_cep,Semiconductor and related device manufacturing,goods
511200,sfw_pub,Software publishers,goods
339950,sgn_mmf,Sign manufacturing,goods
324122,shn_pet,Asphalt shingle and coating materials manufacturing,goods
336611,shp_ote,Ship building and repairing,goods
337215,shv_fpd,"Showcase, partition, shelving, and locker manufacturing",goods
333242,smc_mch,Semiconductor machinery manufacturing,goods
331314,sme_pmt,Secondary smelting and alloying of aluminum,goods
339112,smi_mmf,Surgical and medical instrument manufacturing,goods
512200,snd_mov,Sound recording industries,goods
311910,snk_fbp,Snack food manufacturing,goods
325610,sop_che,Soap and cleaning compound manufacturing,goods
311224,soy_fbp,Soybean and other oilseed processing,goods
311940,spc_fbp,Seasoning and dressing manufacturing,goods
333612,spd_mch,"Speed changer, industrial high-speed drive, and gear manufacturing",goods
711200,spr_art,Spectator sports,goods
332600,spr_fmt,Spring and wire product manufacturing,goods
333514,spt_mch,"Special tool, die, jig, and fixture manufacturing",goods
3252A0,srf_che,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,goods
S00401,srp_use,Scrap,goods
233411,srs_con,Single-family residential structures,goods
322230,sta_ppd,Stationery product manufacturing,goods
F10C00,state_consume,State and local government consumption expenditures,finaldemand
F10E00,state_equipment,State and local: Gross investment in equipment,finaldemand
F10N00,state_intelprop,State and local: Gross investment in intellectual property products,finaldemand
F10S00,state_invest,State and local: Gross investment in structures,finaldemand
331200,stl_pmt,Steel product manufacturing from purchased steel,goods
336370,stm_mot,Motor vehicle metal stamping,goods
212310,stn_min,Stone mining and quarrying,goods
F02S00,structures,Nonresidential private fixed investment in structures,finaldemand
SUB,subsidies,Subsidies,
T00SUB,subsidies,Less: Subsidies,
311300,sug_fbp,Sugar and confectionery product manufacturing,goods
T016,supply,Total product supply (purchaser prices),
V00300,surplus,Gross operating surplus,valueadded
335313,swt_eec,Switchgear and switchboard apparatus manufacturing,goods
311930,syr_fbp,Flavoring syrup and concentrate manufacturing,goods
541512,sys_com,Computer systems design services,goods
TOP,tax,Tax on products,
T00TOP,taxes,Plus: Taxes on products and imports,
T015,taxlessubsidies,Total tax less subsidies on products,
333611,tbn_mch,Turbine and turbine generator set units manufacturing,goods
311920,tea_fbp,Coffee and tea manufacturing,goods
334210,tel_cep,Telephone apparatus manufacturing,goods
334514,tfl_cep,Totalizing fluid meter and counting device manufacturing,goods
326210,tir_pla,Tire manufacturing,goods
327992,tmn_nmp,Ground or treated mineral and earth manufacturing,goods
325620,toi_che,Toilet preparation manufacturing,goods
322291,toi_ppd,Sanitary paper product manufacturing,goods
T017,totalbasic,Total industry supply,
T019,totaluse,Total use of products,
T001,totint,Total Intermediate,
339930,toy_mmf,"Doll, toy, and game manufacturing",goods
332720,tps_fmt,"Turned product and screw, nut, and bolt manufacturing",goods
336350,tpw_mot,Motor vehicle transmission and power train parts manufacturing,goods
T014,trdtrn,Total trade and transportation margins,
484000,trk_trk,Truck transportation,goods
336212,trl_mot,Truck trailer manufacturing,goods
336360,trm_mot,Motor vehicle seating and interior trim manufacturing,goods
2332C0,trn_con,Transportation structures and highways and streets,goods
S00201,trn_sle,State and local government passenger transit,goods
482000,trn_trn,Rail transportation,goods
TRANS,trncost,Transportation costs,
561500,trv_adm,Travel arrangement and reservation services,goods
313300,txf_tex,Textile and fabric finishing and fabric coating mills,goods
611A00,uni_edu,"Junior colleges, colleges, universities, and professional schools",goods
337121,uph_fpd,Upholstered household furniture manufacturing,goods
326150,ure_pla,Urethane and other foam product (except polystyrene) manufacturing,goods
VAPRO,valueadded,Value added (producer value),
111200,veg_agr,Vegetable and melon farming,goods
321200,ven_wpd,"Veneer, plywood, and engineered wood product manufacturing",goods
541940,vet_tsv,Veterinary services,goods
33291A,vlv_fmt,Valve and fittings other than plumbing,goods
221300,wat_uti,"Water, sewage and other systems",goods
33451A,wcm_cep,"Watch, clock, and other measuring and controlling device manufacturing",goods
335930,wdv_eec,Wiring device manufacturing,goods
311221,wet_fbp,Wet corn milling,goods
312140,why_fbp,Distilleries,goods
517210,wls_brd,Wireless telecommunications carriers (except satellite),goods
312130,wne_fbp,Wineries,goods
327993,wol_nmp,Mineral wool manufacturing,goods
493000,wrh_wrh,Warehousing and storage,goods
562000,wst_wst,Waste management and remediation services,goods
517110,wtl_brd,Wired telecommunications carriers,goods
483000,wtt_wtt,Water transportation,goods
