summary_code,detail_code,detail_desc,bea_code
ote,rrd_ote,Railroad rolling stock manufacturing,336500
ote,shp_ote,Ship building and repairing,336611
oth,imp_oth,Noncomparable imports,S00300
oth,rwa_oth,Rest of the world adjustment,S00900
otr,mes_otr,Couriers and messengers,492000
otr,sce_otr,Scenic and sightseeing transportation and support activities,48A000
ott,bui_ott,Building material and garden equipment and supplies dealers,444000
ott,clo_ott,Clothing and clothing accessories stores,448000
ott,gas_ott,Gasoline stations,447000
ott,hea_ott,Health and personal care stores,446000
ott,non_ott,Nonstore retailers,454000
ott,oth_ott,All other retail,4B0000
pet,oth_pet,Other petroleum and coal products manufacturing,324190
pet,pav_pet,Asphalt paving mixture and block manufacturing,324121
pet,ref_pet,Petroleum refineries,324110
pet,shn_pet,Asphalt shingle and coating materials manufacturing,324122
pip,pip_pip,Pipeline transportation,486000
pla,bot_pla,Plastics bottle manufacturing,326160
pla,fom_pla,Polystyrene foam product manufacturing,326140
pla,lam_pla,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",326130
pla,opm_pla,Other plastics product manufacturing,326190
pla,orb_pla,Other rubber product manufacturing,326290
pla,plm_pla,Plastics packaging materials and unlaminated film and sheet manufacturing,326110
pla,ppp_pla,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",326120
pla,rbr_pla,Rubber and plastics hoses and belting manufacturing,326220
pla,tir_pla,Tire manufacturing,326210
pla,ure_pla,Urethane and other foam product (except polystyrene) manufacturing,326150
pmt,ala_pmt,Alumina refining and primary aluminum production,331313
pmt,alu_pmt,Aluminum product manufacturing from purchased aluminum,33131B
pmt,cop_pmt,"Copper rolling, drawing, extruding and alloying",331420
pmt,fmf_pmt,Ferrous metal foundries,331510
pmt,irn_pmt,Iron and steel mills and ferroalloy manufacturing,331110
pmt,nff_pmt,Nonferrous metal foundries,331520
pmt,nfm_pmt,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490
pmt,nms_pmt,Nonferrous metal (except aluminum) smelting and refining,331410
pmt,sme_pmt,Secondary smelting and alloying of aluminum,331314
pmt,stl_pmt,Steel product manufacturing from purchased steel,331200
ppd,opp_ppd,All other converted paper product manufacturing,322299
ppd,pbc_ppd,Paperboard container manufacturing,322210
ppd,pbm_ppd,Paperboard mills,322130
ppd,plp_ppd,Pulp mills,322110
